no,class,name,address,menu,picture,insta
54,관광지,새연교,제주특별자치도 서귀포시 서귀동 남성중로 40,None,tra_31,None
55,관광지,보롬왓,"2350-104, 번영로 표선면 서귀포시 제주특별자치도",None,tra_32,None
56,관광지,한국폴로클럽,제주특별자치도 제주시 구좌읍 행원리,None,tra_33,None
57,관광지,김영갑 갤러리,제주특별자치도 서귀포시 성산읍 삼달로 137,None,tra_34,None
58,관광지,서연의 집,"제주특별자치도 서귀포시 특별자치도, 남원읍 위미항구로 86 KR",None,tra_35,None
59,관광지,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,None,tra_36,None
60,관광지,스누피가든,제주특별자치도 제주시 특별자치도 구좌읍 금백조로 930,None,tra_37,None
61,관광지,우도,"제주특별자치도 제주시 특별자치도, 우도면 연평리 1448-1",None,tra_38,None
62,관광지,빛의 벙커,"제주특별자치도 서귀포시 특별자치도, 서성일로1168번길 89-17",None,tra_39,None
63,관광지,비밀의 숲,"제주특별자치도 제주시 특별자치도, 구좌읍 송당리 2170",None,tra_40,None
64,관광지,김녕 요트투어,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,None,tra_41,None
65,관광지,용눈이 오름,제주특별자치도 제주시 구좌읍 종달리 4650-1,None,tra_42,None
66,관광지,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,None,tra_43,None
67,관광지,만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,None,tra_44,None
68,관광지,한라산 국립공원,"제주특별자치도 제주시 특별자치도, 1100로 2070-61",None,tra_45,None
69,관광지,성산일출봉,제주특별자치도 서귀포시 성산읍 성산리 137-1,None,tra_46,None
70,관광지,천지연 폭포,제주 서귀포시 천지동 667-7,None,tra_47,None
71,관광지,정방폭포,제주 서귀포시 칠십리로214번길 37,None,tra_48,None
72,관광지,섭지코지,제주 서귀포시 성산읍 고성리 62-3,None,tra_49,None
73,관광지,제주 민속촌,제주 서귀포시 표선면 민속해안로 631-45,None,tra_50,None
74,관광지,제주 돌문화공원,제주 제주시 조천읍 남조로 2023,None,tra_51,None
75,관광지,제주 테디베어 박물관,제주 서귀포시 중문관광로110번길 31,None,tra_52,None
76,관광지,헬로키티 아일랜드,제주 서귀포시 안덕면 한창로 340,None,tra_53,None
77,관광지,아쿠아플라넷 제주,제주 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,None,tra_54,None
78,관광지,러브랜드,제주 제주시 1100로 2894-72 제주러브랜드,None,tra_55,None
79,관광지,에코랜드 테마파크,제주 제주시 조천읍 번영로 1278-169,None,tra_56,None
80,관광지,김녕미로공원,제주 제주시 구좌읍 만장굴길 122,None,tra_57,None
81,관광지,세계자동차박물관,제주 서귀포시 안덕면 중산간서로 1610 세계자동차 제주박물관,None,tra_58,None
82,관광지,여미지 식물원,제주 서귀포시 중문관광로 93,None,tra_59,None
83,관광지,유리의성,제주 제주시 한경면 녹차분재로 462,None,tra_60,None
